,zip_code,vacant_counts,sanitation_counts,employed,low_income,race,never_married
36,60618.0,4.0,63.0,52335,1842,2169,34212
45,60614.0,0.0,59.0,45516,2478,3086,34824
32,60647.0,7.0,52.0,49221,2715,5721,39376
12,60632.0,9.0,47.0,37368,1710,1792,29749
22,60641.0,4.0,39.0,37639,1596,1624,23571
5,60651.0,49.0,38.0,21961,2904,37540,25886
14,60621.0,73.0,35.0,7912,2915,30355,15256
30,60622.0,7.0,34.0,35246,1547,4621,26298
9,60620.0,78.0,33.0,23828,3801,67353,30080
28,60623.0,19.0,31.0,30758,3683,28593,35580
34,60639.0,12.0,30.0,39513,1915,12896,31649
7,60643.0,44.0,29.0,21047,1194,37513,17023
29,60629.0,21.0,27.0,45182,2848,23961,40465
16,60612.0,22.0,26.0,14296,2911,23361,18241
20,60657.0,3.0,24.0,49462,2304,1879,36893
37,60625.0,2.0,24.0,43643,2278,3324,28026
8,60617.0,80.0,24.0,30074,3655,46173,29244
10,60636.0,91.0,23.0,10498,1927,34572,17090
4,60628.0,121.0,23.0,22277,3352,63916,27634
11,60608.0,8.0,23.0,32914,3163,13080,34850
0,60637.0,47.0,23.0,16213,4364,39096,23319
2,60649.0,29.0,22.0,16863,4528,42282,20658
3,60619.0,78.0,21.0,22896,4521,61455,26908
19,60624.0,42.0,20.0,10023,3142,36007,18594
38,60607.0,3.0,17.0,17066,1335,3943,15064
21,60653.0,12.0,16.0,11258,3187,27900,13051
35,60638.0,6.0,16.0,27286,718,1640,16176
13,60626.0,1.0,16.0,26050,2965,11343,22310
17,60609.0,56.0,14.0,23433,2607,15310,22680
42,60645.0,2.0,13.0,19519,1547,8073,12510
27,60644.0,18.0,13.0,15329,3199,45810,23440
44,60616.0,1.0,11.0,25617,3328,13125,20777
31,60652.0,5.0,11.0,19053,604,20076,13564
15,60630.0,3.0,10.0,28499,1123,779,16017
47,60610.0,0.0,10.0,24594,2978,6277,19092
43,60642.0,1.0,10.0,13705,571,1648,10363
33,60634.0,7.0,9.0,36703,1522,1351,21075
48,60659.0,0.0,8.0,19217,936,2652,11667
25,60615.0,3.0,7.0,18537,3409,24068,18664
41,60660.0,1.0,6.0,22877,2142,6134,19069
49,60613.0,0.0,6.0,34633,1716,3056,25924
39,60640.0,1.0,6.0,37723,4756,13055,29220
51,60611.0,0.0,5.0,18868,1174,1270,12898
40,60707.0,1.0,3.0,20037,1023,3724,11966
6,60631.0,1.0,3.0,14066,661,419,6841
23,60646.0,2.0,3.0,12809,714,213,5437
46,60605.0,0.0,3.0,17664,1213,5257,12173
1,60655.0,5.0,3.0,13769,334,1967,7670
50,60606.0,0.0,2.0,2399,172,74,1514
52,60661.0,0.0,2.0,6670,523,575,4746
53,60602.0,0.0,2.0,909,26,30,636
18,60656.0,1.0,2.0,14252,590,209,6130
26,60633.0,8.0,2.0,5366,501,3114,4533
24,60827.0,5.0,0.0,9571,2090,26213,12424
